<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `p_uh_sh `k_aa_r_t </s>	プッシュカート	プッシュカート
<s> `f_l_ao_r </s>	フロア	フロア
<s> `aa_r g_y_uw </s>	アーギュー	アーギュー
<s> ax `l_ow_n </s>	アローン	アローン
<s> ax_n `k_ah v_er </s>	アンカバー	アンカバー
<s> `t_er b_ax_n </s>	ターバン	タービン
<s> `y_uw k_r_ax `m_ey t_ax_n </s>	ユークロマチン	ユークロマトン
<s> `hh_ih p_iy `s_t_ay_l </s>	ヒッピースタイル	ハイピースタイル
<s> `s_ih s_t_ax_m `d_ey t_ax </s>	システムデータ	システムデータ
<s> `l_uw m_ax_n </s>	ルーメン	ルミン
<s> d_ih `v_ay_s `f_aa_n_t </s>	デバイスフォント	デバイスフォント
<s> ih_n `s_eh_n t_ih_v </s>	インセンティブ	インセンティブ
<s> `jh_aa_b eh_n `r_ih_ch m_ax_n_t </s>	ジョブエンリッチメント	ジョブエンリッチメント
<s> `k_er t_ax_n `l_eh_k ch_er </s>	カーテンレクチャー	カタンレクチャー
<s> `p_ow k_er `hh_ae_n_d </s>	ポーカーハンド	ポカハンド
<s> `th_ah_m `n_ey_l </s>	サムネイル	サムネイル
<s> `n_ey t_ih_v `l_ae_ng g_w_ax_jh </s>	ネイティブランゲージ	ナティブランゲージ
<s> `s_ae_n_d `b_ah g_iy </s>	サンドバギー	サンドバギー
<s> `k_ae zh_ax w_ax_l </s>	カジュアル	カジュアル
<s> `g_r_ey_p `jh_uw_s </s>	グレープジュース	グレープジュース
<s> aa_r `k_ey_d </s>	アーケード	アーケード
<s> `k_l_er_k </s>	クラーク	クラーク
<s> `hh_eh_d `s_ih z_er_z </s>	ヘッドシザース	ヘッドシザース
<s> f_ow `n_aa l_ax jh_iy </s>	フォノロジー	フォノロジー
<s> `t_r_eh_n_ch `k_ow_t </s>	トレンチコート	トレンチコート
<s> `s_ih_k_s `n_ay_n_z </s>	シックスナイン	シックスナイン
<s> `f_r_ow z_ax_n `f_uw_d </s>	フローズンフード	フローズンフード
<s> `hh_aa_r v_ax_s_t </s>	ハーベスト	アベスト
<s> `k_l_ay ax_n_t `ae_k `s_eh_s `p_oy_n_t </s>	クライアントアクセスポイント	クライアントアクセスポイント
<s> v_ae n_uw `aa t_uw </s>	バヌアツ	バヌアツ
<s> `g_ow_l d_ax_n `r_uw_l </s>	ゴールデンルール	ゴールデンルール
<s> `n_uh r_ax f_ax l_ax m_ax_n_t </s>	ニューロフィラメント	ニューロファリメント
<s> `r_ah_m_p </s>	ランプ	ランプ
<s> `hh_y_uw m_ax `n_ih s_t_ih_k </s>	ヒューマニスティック	ヒューマニスティック
<s> `s_t_ao_r_m </s>	ストーム	ストーム
<s> `ae n_er `eh_k s_iy ax </s>	アノレクシア	アナエクシーエー
<s> `p_ae_n d_ax </s>	パンダ	パンダ
<s> `d_ih s_ax p_l_ax_n </s>	ディシプリン	ディシプリン
<s> `l_ae_s_t `n_ey_m </s>	ラストネーム	ラストネーム
<s> `b_ah_n d_ax l_ih_ng </s>	バンドリング	バンドリング
<s> `s_ih_n d_ih `k_ey t_ih_d `l_ow_n </s>	シンジケートローン	シンジケートロン
<s> `ae m_ax s_t_ih_n </s>	アミセチン	アマスチン
<s> `hh_ow m_ow `l_ah d_ax_n_z </s>	ホモルーデンス	ホモラッデンス
<s> `g_ah v_er n_ax_n_s </s>	ガバナンス	ガバナンス
<s> `hh_iy_t `ay l_ax_n_d </s>	ヒートアイランド	ヒートアイランド
<s> `f_uw d_iy </s>	フーディー	フディ
<s> ax `s_ao_r t_ih_d `ch_ao k_l_ax_t_s </s>	アソートチョコレート	アソートチョコレート
<s> `b_eh_n d_ih_ng </s>	ベンディング	ベンディング
<s> `t_r_ey d_er </s>	トレーダー	トレーダー
<s> `b_ah f_er `ow v_er `r_ah_n </s>	バッファオーバラン	バファオーバーラン
<s> `k_w_ao_r t_er `f_ay n_ax_l </s>	クォーターファイナル	クォーターファイナル
<s> eh_n k_ax f_ax l_ih_n </s>	エンケファリン	エンケファリン
<s> `ae d_ax `n_ow `s_iy_n `d_iy `m_iy `n_aa_s </s>	アデノシンデアミナーゼ	アジノシンジメアナーゼ
<s> `b_ae s_ih_t `hh_aw_n_d </s>	バセットハウンド	バセットハウンド
<s> `ao_f `r_ow_d `r_ey_s </s>	オフロードレース	オフロードレース
<s> `n_ih_r `v_ih d_iy ow `aa_n d_ih `m_ae_n_d </s>	ニアービデオオンデマンド	ニアビデオアンデマンド
<s> `g_r_ey_n `f_eh_d </s>	グレインフェッド	グレインフェッド
<s> `w_ao k_ih_ng </s>	ウォーキング	ウォーキング
<s> `m_iy t_er `s_t_ae_m_p </s>	メータースタンプ	メタスタンプ
<s> `p_aa_m `t_aa_p </s>	パームトップ	パームトップ
<s> `n_ey t_ih_v `k_aa_m `p_ay l_er </s>	ネイティブコンパイラ	ナティブコンパイラ
<s> `l_ey z_er </s>	レーザー	レザー
<s> `v_eh_l k_r_ow </s>	ベルクロ	ベルクロ
<s> `s_p_iy_ch `th_eh r_ax p_ax_s_t </s>	スピーチセラピスト	スピーチセラピスト
<s> `s_l_ow `t_eh_m `p_ow </s>	スローテンポ	スローテンポ
<s> `b_aa_b s_l_ax </s>	ボブスレー	ボブスレー
<s> `ae_ng g_ax_l `d_ow z_er </s>	アングルドーザー	アングルドーザー
<s> `ih_n t_er `n_eh_t `g_ae_m b_ax l_ih_ng </s>	インターネットギャンブル	インターネットギャンブリング
<s> `k_aw `b_oy `b_uw_t_s </s>	カウボーイブーツ	コボーイブーツ
<s> `d_ey m_ax_n </s>	ディーモン	デーモン
<s> `m_ih_l </s>	ミル	ミル
<s> `m_ow b_ax_l k_ax_m `p_y_uw t_ih_ng </s>	モバイルコンピューティング	モバイルコンピューティング
<s> `ih_r `d_r_aa_p </s>	イヤドロップ	ルドロップ
<s> ih_n `t_eh_n sh_ax n_ax_l `f_aw_l </s>	インテンショナルファウル	インテンショナルファウル
<s> `k_ae_t </s>	カト	キャット
<s> m_ih `s_l_iy d_ih_ng </s>	ミスリード	ミスリーディング
<s> `m_aa d_er_n `jh_ae_z </s>	モダンジャズ	モダンジャズ
<s> `ao_l `s_iy z_ax_n `t_r_ae_k </s>	オールシーズントラック	オールシーズントラック
<s> `t_ay_d </s>	タイド	タイド
<s> d_ih `z_ay_n `p_aa l_ax s_iy </s>	デザインポリシー	デザインポリシー
<s> `hh_ae m_er `l_aa_k </s>	ハンマーロック	ハマロック
<s> `p_aa_p `f_l_ay </s>	ポップフライ	ポップフライ
<s> `ae f_r_ax k_ax_n `s_p_ey d_ih `f_ih_sh </s>	アフリカンスペードフィッシュ	アフリカンスペードフィッシュ
<s> p_r_ow p_ax `l_iy_n `g_l_ay `k_ao_l </s>	プロピレングリコール	プロパリングリコール
<s> `s_l_ah_m_p </s>	スランプ	スランプ
<s> m_aa `s_k_aa_r `p_ow n_iy `ch_iy_z </s>	マスカルポーネチーズ	マスカルポーネチーズ
<s> `f_y_uw zh_ax_n </s>	フュージョン	フュージョン
<s> `p_l_ae `n_uw l_ax </s>	プラヌラ	プラヌラ
<s> `s_k_ay `l_ay_n </s>	スカイライン	スカイライン
<s> `t_uh r_ih_ng `k_aa_r </s>	ツーリングカー	ツーリングカー
<s> hh_ax `l_ey sh_ax_n </s>	ハレーション	ハレーション
<s> `b_l_uw `b_l_ae_k </s>	ブルーブラック	ブルーブラック
<s> `f_aa s_ax </s>	フォッサ	フォサ
<s> `t_eh_k_s_t ax_b `jh_eh_k_t </s>	テキストオブジェクト	テキストオブジェクト
<s> `l_ao `g_aa `th_eh r_ax p_iy </s>	ロゴセラピー	ロゴセラピー
<s> `m_aa d_ax_l `s_k_uw_l </s>	モデルスクール	モデルスクール
<s> `d_ah_s_t `s_t_ao_r_m </s>	ダストストーム	ダストストーム
<s> `m_aa_r_k s_ih z_ax_m </s>	マルキシズム	マークシズム
<s> `b_l_ae_k `m_ah_n d_iy </s>	ブラックマンデー	ブラックマンディ
<s> `s_ao_r s_ih_ng </s>	ソーシング	ソーシング
<s> `f_l_ey v_ih_n </s>	フラビン	フレーラビン
<s> `l_ay t_ih_ng `ah_p </s>	ライトアップ	ライティングアップ
<s> n m_ax `n_aa_n </s>	ヌーメノン	ノマノン
<s> `w_ao t_er `jh_ae k_ax_t </s>	ウォータージャケット	ウォータージャケット
<s> `s_p_iy k_er `f_ow_n </s>	スピーカーフォン	スピーカーフォン
<s> `s_eh_k_s `w_er k_er </s>	セックスワーカー	セックスワーカー
<s> `t_ae_ng k_er </s>	タンクローリ	タンカー
<s> `k_aa_r b_ax_n `hh_eh_d </s>	カーボンヘッド	カーボンヘッド
<s> `hh_ay `eh_n_d m_ax `sh_iy_n </s>	ハイエンドマシン	ハイエンドマシン
<s> `s_ih s_t_ax_m_z `hh_ae k_ih_ng </s>	システムハッキング	システムハキング
<s> `y_eh l_ow `f_l_ae_g </s>	イエローフラッグ	エロフラッグ
<s> `k_aa_n `t_ae_k_t `s_p_ao_r_t </s>	コンタクトスポーツ	コンタクトスポーツ
<s> `p_ow_s_t `ih_t </s>	ポストイット	ポストイット
<s> ax `g_r_eh s_ih_v </s>	アグレッシブ	アグレッシブ
<s> `k_ih_n s_ax_s </s>	キネシス	キンシス
<s> `s_w_ih ch_ih_ng `t_ey b_ax_l </s>	スイッチングテーブル	スイチングテーブル
<s> `m_ey jh_er `s_eh v_ax_n_th </s>	メジャーセブンス	マジセブンス
<s> `hh_ow_m `t_r_ey_d </s>	ホームトレード	ホームトレード
<s> `t_w_ih_n `b_eh_d </s>	ツインベッド	ツインベッド
<s> `k_er b_er ow_z </s>	ケルベロス	カバーオ
<s> `k_eh t_aa_l </s>	ケトール	カトール
<s> `l_ow k_ax_l `b_ah_s `v_ih d_iy ow </s>	ローカルバスビデオ	ローカルバスビデオ
<s> f_ax `t_aa g_r_ax f_iy </s>	フォトグラフィー	ファターグラフィー
<s> `p_iy n_ax_t `ae l_er jh_iy </s>	ピーナッツアレルギー	ピーナッツアラジ
<s> `p_eh n_ax_l t_iy `eh r_iy ax </s>	ペナルティーエルア	パネルティーエリア
<s> `t_ay_m_d `r_ey_s </s>	タイムレース	タイムレース
<s> `b_l_eh_n d_er </s>	ブレンダー	ブレンダー
<s> `v_eh_n d_er </s>	ヴェンダー	ベンダー
<s> `hh_aw `s_w_ay_f </s>	ハウスワイフ	ハウスワイフ
<s> `r_ow_d `p_r_ay s_ih_ng </s>	ロードプライシング	ロードプライシング
<s> `b_aa_r b_ih `k_y_uw </s>	バーベキュー	バーベキュー
<s> `s_k_aw_t </s>	スカウトマン	スカウト
<s> ih `f_eh_k_t_s </s>	エフェクツ	エフェクツ
<s> `jh_ae_z m_ax_n </s>	ジャスミン	ジャズメン
<s> `eh_k s_er `s_ay_z `w_ao k_ih_ng </s>	エキササイズウォーキング	エクササイズウォーキング
<s> hh_er `ae s_m_ax_n_t, `iy `jh-iy ih_n dh_ax `w_er_k `p_l_ey_s, `f_r_ah_m ax p_ax `z_ih sh_ax_n `ah_v `p_aw er </s>	パワーハラスメント	ヘアエジーインジワークアポジションオブパワー
<s> `sh_aw er </s>	シャワー	シャワー
<s> `g_ih_b_z `s_ae_m p_l_ih_ng </s>	ギブスサンプリング	ギブスサンプリング
<s> `ao th_ax_n `t_ih s_ih t_iy </s>	オーセンティシティ	オーセンティシティ
<s> `s_k_r_ae_m </s>	スクラム	スクラム
<s> `k_aa_n s_eh_p_t `aa_r_t </s>	コンセプトアート	コンセプトアート
<s> `d_ey z_iy `ch_ey_n </s>	デイジーチェーン	デージーチェーン
<s> `d_aa_t `m_ey t_r_ih_k_s </s>	ドットマトリックス	ドットメートリクス
<s> `n_iy `ow `f_iy l_iy ax </s>	ネオフィリア	ネオフィリア
<s> `m_ah_l t_iy d_ih `s_p_l_ey </s>	マルチディスプレイ	マルチディスプレイ
<s> `f_ah_n_d `t_r_ah_s_t </s>	ファンドトラスト	ファンドトラスト
<s> `s_aw_n_d `s_p_eh_k t_r_ax `g_r_ae_f </s>	サウンドスペクトログラフ	サウンドスペクトログラフ
<s> `eh_s `iy </s>	エスイー	エスイー
<s> `s_ae_n_d `b_ae_th </s>	サンドバス	サンドバス
<s> `s_ay_n `l_ae_ng g_w_ax_jh </s>	サインレンゲージ	サインランゲージ
<s> `eh p_ax jh_ax `n_eh t_ih_k_s </s>	エピジェネティクス	エピジャネッティックス
<s> `l_ay_f `s_t_ay_l </s>	ライフスタイル	ライフスタイル
<s> `s_t_aa_r_z `ae_n_d `s_t_r_ay_p_s </s>	スターズアンドストライプス	スターズアンドストライスススス
<s> `f_l_uh `r_eh_s_n </s>	フルオレセイン	フルオレセイン
<s> `n_ae ch_ow </s>	ナッチョ	ナチョ
<s> `n_iy ow r_ow `m_ae_n t_ax `s_ih z_ax_m </s>	ネオロマンティシズム	ネオロマンティシズム
<s> `n_eh `t_w_er_k ax `d_r_eh_s </s>	ネットワークアドレス	ネットワークアドレス
<s> t_r_ae_n `z_ae_k sh_ax_n `k_aa_n t_eh_k_s_t </s>	トランザクションコンテキスト	トランザクションコンテキスト
<s> `m_ay `k_r_ow `s_ao_f_t </s>	マイクロソフト	マイクロソフト
<s> `t_eh l_ax `m_aa_r k_ih t_er </s>	テレマーケター	テリマーケター
<s> `m_aa n_ax `k_r_ow_m </s>	モノクロ	モニクロム
<s> `s_p_ey s_m_ax_n </s>	スペースマン	スペースマン
<s> `t_iy z_er </s>	ティーザー	ティーザー
<s> s_er `ch_aa_r_jh </s>	サーチャージ	サーチャージ
<s> `t_ae g_ax `l_aa_g </s>	タガログ	タガログ
<s> ih `v_eh_n_t </s>	イベント	エベント
<s> `ao r_ax_l </s>	オーラル	オーラル
<s> `oy_l_d s_aa_r `d_iy_n </s>	オイルサーディン	オイサージン
<s> `b_w_ey n_ow_s `eh r_iy_z </s>	ブエノスアイレス	ブエノスエリーズ
<s> `v_ih zh_ax w_ax_l `s-iy p_l_ah_s p_l_ah_s </s>	ビジュアルシープラプラ	ビジュアルシープラプラ
<s> `p_ow_l k_ax </s>	ポルカ	ポールコ
<s> `p_ao_r `t_uw jh_iy s_er </s>	ポルトギーザー	ポチュージーサー
<s> `s_aa n_ih_t </s>	ソネット	ソネット
<s> `r_iy_l `t_ay_m `b_l_aa_k `l_ih_s_t </s>	リアルタイムブロックリスト	レタイムブロックリスト
<s> `w_ao_r f_aa r_ih_n </s>	ワーファリン	ウォーファリン
<s> `s_t_ih r_ih_ng k_ax `m_ih t_iy </s>	ステアリングコミッティー	ステアリングコミティ
<s> ae_d `v_ay_s </s>	アドバイス	アドバイス
<s> `s_ae l_ax `m_ae_n d_er </s>	サラマンダー	サラマンダー
<s> `l_ow k_ax_l `k_ah l_er </s>	ローカルカラー	ローカルコラー
<s> `n_uh r_ow k_ax_m `p_y_uw t_er </s>	ニューロコンピューター	ニューロコンピュータ
<s> `b_uh_sh `d_aa_k t_r_ax_n </s>	ブッシュドクトリン	ブッシュドクトリン
<s> ih `m_iy d_iy ax_t </s>	イミディエイト	エメディア
<s> m_ax `jh_ih sh_ax_n </s>	マジシャン	マジション
<s> jh_ih `b_ax `r_eh l_ih_n </s>	ジベレリン	ジベリリン
<s> `d_uw t_iy `f_r_iy `sh_aa_p </s>	デューティーフリーショップ	デュティーフリーショップ
<s> `p_ey_n t_ih_ng `n_ay_f </s>	ペインティングナイフ	パンティングナイフ
<s> `k_ih_s `s_iy_n </s>	キスシーン	キスシーン
<s> `k_iy `m_aa_r k_ax_t </s>	キーマーケット	キーマト
<s> `p_aa l_ax `n_ey_z </s>	ポロネーズ	ポリネーズ
<s> `eh_r b_ax_s </s>	エアバス	エアバス
<s> `ao r_iy `eh_n `t_ih r_ih_ng </s>	オリエンテーリング	オーラレンチア
<s> `ey zh_ax_n </s>	アジアン	アジア
<s> `ae_k sh_ax_n r_iy `s_er_ch </s>	アクションリサーチ	アクションリサーチ
<s> s_er ao_ng `ey p_r_ax_n </s>	サロンエプロン	サーロンエープロン
<s> `g_aa_n d_ax l_ax `l_ih_f_t </s>	ゴンドラリフト	ガンダリリフト
<s> s_ih `k_l_ao s_p_er `iy_n </s>	サイクロスポリン	シクロスポリン
<s> `jh_uw_s `k_l_eh_n_z </s>	ジュースクレンズ	ジュースクレンズ
<s> `l_ey b_er `y_uw n_y_ax_n </s>	レーバーユニオン	レバーユーニオン
<s> `ae_l p_ax_n </s>	アルペン	アルペン
<s> `p_ao_r_k `k_ah r_iy </s>	ポークカレー	ポークカリ
<s> `eh s_k_r_ow `s_er v_ax_s </s>	エスクローサービス	エスクローサービス
<s> `ae_k sh_ax_n `p_l_ae_n </s>	アクションプラン	アクションプラン
<s> b_ax_l d_ax_k </s>	プルダック	ブルドック
<s> `t_eh_k n_ow ih_n `d_ah s_t_r_iy ax_l </s>	テクノインダストリアル	テクノインダストリーアル
<s> `s_ah_b `m_eh n_y_uw </s>	サブメニュー	サブメニュー
<s> `hh_ae_k `ae_n_d `s_l_ae_sh </s>	ハックアンドスラッシュ	ハックアンドスラッシュ
<s> `p_iy n_ax_t </s>	ピーナッツ	ピーナッツ
<s> `w_eh_l n_ax_s </s>	ウェルネス	ウェルネス
<s> `m_ih `th_aa l_ax jh_ih_s_t </s>	ミソロジスト	ミソロジスト
<s> `ae s_t_r_ax `n_aa_t </s>	アストロノート	アストロノート
<s> `b_ae_k `g_r_aw_n_d </s>	バックグラウンド	バックグラウンド
<s> `s_t_ao_r `d_r_ay v_er </s>	ストアドライバ	ストアドライバー
<s> ax `ch_iy_v m_ax_n_t `t_eh_s_t </s>	アチーブメントテスト	アチーブメントテスト
<s> `s_t_ae_n d_er_d `f_ao_r m_ax_l `w_eh_r `w_ao_r_n `b_ay `s_t_uw d_ax_n_t_s, `y_uw `s_uw `w_eh_n `g_ow ih_ng t_ax `ih_n t_er `v_y_uw_z </s>	リクスー	スタンダードフォーマルウェアバイスタユーシーゴリンタインター
<s> `b_ah_f </s>	バフ	バフ
<s> z_ay `ih_r </s>	ザイール	ザイール
<s> `b_ey_s </s>	ベース	ベース
<s> `b_l_aa_n_d </s>	ブロンド	ブロンド
<s> jh_aa `p_l_ih_sh </s>	ジャプリッシュ	ジャプリッシュ
<s> `d_ay `ae_d </s>	ダイアド	ダイアド
<s> `s_ae_m p_ax_l </s>	サンプル	サンプル
<s> `s_ay ax_n_s `p_aa_r_k </s>	サイエンスパーク	サイエンスパーク
<s> `ah_p_s </s>	ユーピーエス	ユーピーエス
<s> ao_l `t_er n_ax t_ih_v </s>	オールターナティブ	オールターナティブ
<s> `ey_s ax `t_ae k_er </s>	エースアタッカー	エースアタカ
<s> `m_ay n_er </s>	マイナーレーベル	マイナー
<s> `hh_aa_r_d `s_eh_k t_er ih_ng </s>	ハードセクタリング	ハードセクターリン
<s> `ae_n th_r_ax `p_aa l_ax jh_iy </s>	アンスロポロジー	アントロポリジ
<s> `s_ay z_ih_ng `p_r_eh_s </s>	サイジングプレス	サイジングプレス
<s> `v_ih_m </s>	ヴィム	ヴィム
<s> `w_ow s_ax </s>	ウォーサ	ウォーサ
<s> `aa_r k_ax `t_eh_k ch_er ax_l </s>	アーキテクチャラル	アーキテクチャル
<s> `m_ey l_ih_ng </s>	メイリング	マリング
<s> `dh_ae_t_s `ao_l </s>	ザッツオール	ザッツオール
<s> `hh_ae_m `s_ae_n d_w_ih_ch </s>	ハムサンド	ハムサンド
<s> `k_ae r_iy er `t_ow_n </s>	キャリアトーン	カリアトーン
<s> `l_ay_t `p_eh_n </s>	ライトペン	ライトペン
<s> `d_iy s_ax_n s_iy </s>	ディセンシー	デソンシー
<s> `d_iy `k_ae_f </s>	デカフェ	デカフェ
<s> `v_ae_l k_r_iy </s>	ヴァルキリー	ヴァルクリ
<s> `ah_n d_er `s_k_ao_r </s>	アンダースコア	アンダースコア
<s> `ih_n t_r_ax_s_t `g_r_uw_p </s>	インタレストグループ	インタレグループ
<s> `l_iy ax `t_aa_r_d </s>	レオタード	リアタード
<s> `aw_t `l_ao </s>	アウトロー	アウトロー
<s> `m_eh `t_aa l_ow `s_iy_n </s>	メタロセン	メタロセン
<s> `s_uw_b </s>	エスイーダブリュービー	エスイーダブリュービー
<s> `ae l_ax `g_ey t_er `g_aa_r </s>	アリゲーターガー	アリゲーターガー
<s> `d_ih jh_ax t_ax_l `aa_r `k_ay_v </s>	デジタルアーカイブ	ディジタルアーカイブ
<s> `l_eh_t_s </s>	レッツ	レッツ
<s> th_ae `l_ax s_aa `th_eh r_ax p_iy </s>	タラソテラピー	タラサテリピー
<s> `m_ih `s_eh_l_l </s>	ミセル	ミセル
<s> `p_r_ae_g m_ax t_ih_s_t </s>	プラグマティスト	プラグマティスト
<s> `ay_s_t `w_ao t_er </s>	アイスウォーター	アイスウォーター
<s> `m_iy </s>	ミー	メ
<s> `s_eh_t s_k_r_ax_m </s>	セットスクラム	セットスクラム
<s> `n_uw_s </s>	ヌース	ヌース
<s> `b_ah_s `aa_r b_ih `t_r_ey sh_ax_n </s>	バスアービトレーション	バスアービトレーション
<s> `s_uw v_ax `n_ih_r `sh_aa_p </s>	スーベニアショップ	スーベニアショップ
<s> `l_ao_ng `d_r_ay_v </s>	ロングドライブ	ロングドライブ
<s> ih `l_uw_d </s>	エルード	エルード
<s> `w_ey t_er </s>	ウェイター	ウェイター
<s> `m_aa d_ax_l `ch_ey_n_jh </s>	モデルチェンジ	モデルチェンジ
<s> s_eh_n `s_ey sh_ax n_ax `l_ih z_ax_m </s>	センセーショナリズム	センセーショナリズム
<s> `eh k_ow l_ow `k_ey sh_ax_n </s>	エコロケーション	エコロケーション
<s> s_ax `f_aa r_iy `jh_ae k_ax_t </s>	サファリジャケット	シフォリジャケット
<s> `l_ao_s `l_iy d_er </s>	ロスリーダー	ロスリーダー
<s> `hh_ao `er </s>	フレー	ホアー
<s> `k_ah l_er `s_er k_ax_l </s>	カラーサークル	カラーサークル
<s> `y_aa_r d_ih_jh </s>	ヤーデージ	ヤーデージ
<s> `g_l_ae_s `hh_aa_r_p </s>	グラスハープ	グラスハープ
<s> `eh_r m_ow `z_ey ih_k </s>	エアモザイク	エアモザイク
<s> `oy_l `t_aa_ng k_er </s>	オイルタンカー	オイルタンカー
<s> `n_ih k_ax `t_iy_n `p_ae_ch </s>	ニコチンパッチ	ニカチンパッチ
<s> `k_l_ao_r p_r_ih `f_ow_s </s>	クロルピリホス	クロルピリホス
<s> `s_k_ey l_er p_ax `t_eh_n sh_ax_l </s>	スカラーポテンシャル	スケーラパタンシャル
<s> `b_r_ey z_ih_ng </s>	ブレイズ	ブレージング
<s> `b_r_aa k_ax l_iy </s>	ブロコリ	ブラカリ
<s> `ch_ae n_ax_l ax `jh_ih l_ax t_iy </s>	チャネルアジリティ	チャネルアジリティ
<s> `b_r_ae t_ih `s_l_aa v_ax </s>	ブラチスラバ	ブラチスラバ
<s> d_ay `m_ao_r f_ax l_ax `m_iy_n </s>	ジモルホラミン	ダイモーファリミン
<s> `p_ae d_ax_k </s>	パドック	パドック
<s> `w_ah_n_z </s>	マイハウス	マイハウス
<s> `eh_k s_t_r_ax `n_eh_t </s>	エクストラネット	エクストラネット
<s> `b_r_ah_sh </s>	ブラシ	ブラシ
<s> `b_ae ch_er `p_l_ae_n_t </s>	バッチャープラント	バチュアプラント
<s> `s_ae k_r_ax `f_ay_s </s>	サクリファイス	サクリファイス
<s> `g_r_ae `f_ay_t </s>	グラファイト	グラファイト
<s> `g_ih_m b_ax_l </s>	ジンバル	ジンバル
<s> `w_uh m_ax_n `p_aw er </s>	ウーマンパワー	オマンパワー
<s> d_ih `s_k_r_eh sh_ax_n </s>	ディスクレション	デスクレション
<s> `m_aa d_er ax_t </s>	モデレート	モダレート
<s> `hh_ow_m `ae_n_d ax_w_ey </s>	ホームアンドアウェー	ホームアンドアウェイ
<s> `k_w_ey k_er </s>	クエーカー	クエーカー
<s> `s_ih s_t_ax_m `eh r_er </s>	システムエラー	システムエラー
<s> `g_ey_m `k_aa_r t_r_ax_jh </s>	ロムカセット	ゲームカートリッジ
<s> `aw_l </s>	アウル	アウル
<s> `v_ey g_ax </s>	ベガ	バガ
<s> `ay s_ax `b_ae r_ih_k `s_p_ih_n </s>	アイソバリックスピン	アイソバリックスピン
<s> `s_p_oy_l_z `s_ih s_t_ax_m </s>	スポイルズシステム	スポイルズシステム
<s> `k_r_ao_s ax `s_eh_m b_l_er </s>	クロスアセンブラ	クロスアセンブラ
<s> `b_uw iy `r_ow `b_aa_t </s>	ブイロボット	ブイローボット
<s> `b_ae l_ax_n_s `ah_v `p_aw er </s>	バランスオブパワー	バランスオブパワー
<s> ih `m_ae_n s_ax `p_ey sh_ax_n </s>	エマンシペーション	エマンシペーション
<s> `hh_ow_s_t </s>	ホスチア	ホスト
<s> `s_aa_f_t `l_ow_n </s>	ソフトローン	ソフトローン
<s> `ae n_ax_l `jh_iy s_ih_k </s>	アナルジージク	アナルジージク
<s> `aw_t `b_aw_n_d </s>	アウトバウンド	アウトバウンド
<s> `t_ow n_er </s>	トナー	トナー
<s> `ay `s_p_aa_t k t_ax `n_aa `p_ow m_ax </s>	アイスポットクテノポマ	アイスポットクテナポアマ
<s> `b_ae_ng </s>	バタン	バン
<s> `t_r_ae_n_z `k_aa_n t_ih `n_eh_n t_ax_l </s>	トランスコンチネンタル	トランスコンチネンタル
<s> `w_aa sh_er </s>	ワッシャー	アシャー
<s> aa_r `k_ey d_iy ax </s>	アルカディア	アーケーディア
<s> `m_eh `th_ey_n `g_ae_s </s>	メタンガス	メタンガス
<s> ax `n_iy l_ih_ng </s>	アニーリング	アニル
<s> `b_eh_r `hh_ah_g </s>	ベアハッグ	ベアハッグ
<s> s_ow `f_iy ax </s>	ソフィア	ソフィーア
<s> `k_ao_r `s_t_ao_r </s>	コアストア	コーストア
<s> `th_ay_n </s>	テイン	テイン
<s> ax `r_ey `p_r_aa `s_eh s_er </s>	アレイプロセッサー	アラプロセッサ
<s> l_ih_ng g_ax </s>	リンガ	リングガ
<s> `s_ah_b `s_t_r_ih_ng </s>	サブストリング	サブストリング
<s> `y_uw n_ax `t_eh r_iy ax_n </s>	ユニテリアン	ユーナテリアン
<s> `l_uw m_ax_n </s>	ルーメン	ルミン
<s> k_er `ah_n d_ax_m </s>	コランダム	カーアンダム
<s> `r_ey m_iy </s>	ラミー	ラミ
<s> `m_ae t_ax t_ax b_ih `l_ae_k `t_ow_n </s>	マタタビラクトン	マタタビラクトン
<s> `p_r_ow t_ax `k_aa_l </s>	プロトコル	プロトコル
<s> `p_aw er `g_ey_m </s>	パワーゲーム	パワーゲーム
<s> ax `f_ay_n </s>	アフィン	アフィン
<s> `f_ey_k </s>	フェイク	フェイク
<s> `s_m_uw_dh </s>	スムーズ	スムーズ
<s> `b_uh_l `p_eh_n </s>	ブルペン	ブルペン
<s> ax `d_ih sh_ax n_ax_l `t_ay_m </s>	アディショナルタイム	アディショナルタイム
<s> `f_l_ey v_er </s>	フレーバー	フレーバー
<s> `y_uw z_er `d_ey t_ax </s>	ユーザデータ	ユーザーデータ
<s> `jh_ah_m p_ih_ng </s>	ジャンピング	ジャンピング
<s> `s_k_r_iy_n </s>	スクリーン	スクリーン
<s> `k_ah l_er `s_k_iy_m </s>	カラースキーム	カラースキーム
<s> `aa `s_ih l_ax `g_r_ae_m </s>	オシログラム	アシリグラム
<s> `f_l_ae_g `r_eh jh_ih s_t_er </s>	フラグレジスタ	フラグレジスター
<s> `f_ey b_l_ax_s </s>	ファブレス	ファブレス
<s> `v-iy `b-iy `ey </s>	ブイビーエー	ブイビーエー
<s> `s_p_aa r_ih_ng </s>	スパーリング	スリング
<s> `oy_l `d_ae_m p_er </s>	オイルダンパー	オイルダムパー
