no-hit no-run game	ノーヒットノーランゲーム
car rental agency	ドライブクラブ
group sex	グループセックス
training shoes	トレーニングシューズ
batons	パオ
vocal percussion	ボイスパーカッション
guaiacum	グアヤク
Cheki	チェキ
gaucho hat	ガウチョハット
danger zone for developing metabolic syndrome	メタボゾーン
identify	アイデンティファイ
astrakhan	アストラカン
miniature car	ミニチュアカー
match	マッチ
vanity case	バニティーケース
contact	コンタクト
strategy	ストラテジー
high memory area	ハイメモリエリア
buddy system	バディシステム
embroidered satin baseball jacket	スカジャン
skid row	スキッドロー
ear warmer	イヤーウォーマー
Spartacus Games	スパルタキアード
cut glass	カットグラス
Tyrannosaurus rex	ティラノサウルス
hive tool	ハイブツール
blockbuster	ブロックバスター
access block	アクセスブロック
Terret gris	テレグリ
Genovese	ジェノベーゼ
trilingual	トリリンガル
cyclewear	サイクルウェア
trichloroethane	トリクロロエタン
latency	レイテンシー
stent	ステント
mail agent	メールエージェント
nut spinner	ボックスドライバー
surströmming	シュールストレミング
CRM	シーアールエム
dark blue	ダークブルー
Paris Fashion Week	パリコレクション
mouse opossum	マウスオポッサム
fist bump	フィストバンプ
oligomer	オリゴマー
electrical key	エレクトリカルキー
rice	ライス
pancetta	パンチェッタ
world music	ワールドミュージック
megaphone	メガホン
middleware	ミドルウェア
segment addressing	セグメントアドレッシング
cupcake	カップケーキ
bowling	ボウリング
stop bit	ストップビット
ruler	ルーラー
bouzouki	ブズーキ
gasoline engine	ガソリンエンジン
appointment	アポ
stunt	スタント
hysterical	ヒステリック
crew socks	クルーソックス
computer game using characters from manga, anime, etc.	キャラゲー
gondola	ゴンドラ
converter	コンバーター
headgear	ヘッドギア
maize	メイズ
Coke highball	コークハイ
cold reset	コールドリセット
subliminal advertisement	サブリミナルアド
slogan	スローガン
character format	キャラクタフォーマット
form factor	フォームファクタ
lapse	ラプス
skating rink	スケートリンク
board	ボード
orchestra	オケ
New Age	ニューエイジ
Kosovo	コソボ
voice training	ボイトレ
liner note	ライナーノート
biosafety level	バイオセーフティーレベル
clone	クローン
Andromeda	アンドロメダ
clotted cream	クロテッドクリーム
Solaris	ソラリス
online-manual	オンラインマニュアル
invertase	インベルターゼ
augmented chord	オーグメント
low-cut	ローカット
diopter	ディオプター
patio	パティオ
no loss or gain	プラマイゼロ
non-wired	ノンワイヤー
buyer	バイヤー
clown	ピエロ
pullover	プルオーバー
portrait	ポートレート
internal	インターナル
moral panic	モラルパニック
bonehead play	ボーンヘッド
naringin	ナリンギン
Oriental butterflyfish	オリエンタルバタフライフィッシュ
hammer beam	ハンマービーム
counterblow	カウンターブロウ
event provider	イベントプロバイダ
wingtip	ウィングチップ
subscript	サブスクリプト
goatability	ゴータビリティー
tripe	トリッパ
priming	プライミング
man-hour	マンアワー
head piece	ヘッドピース
treasure hunter	トレジャーハンター
ileus	イレウス
Hasidism	ハシディズム
Canadian serviceberry	ジューンベリー
metallic cable	メタリックケーブル
national costume	ナショナルコスチューム
non-interlace	ノンインタレース
fathom	ファゾム
western lesser bamboo lemur	ニシジェントルキツネザル
cloudy catshark	トラザメ
edutainment	エデュテイメント
ribosome	リボソーム
enrich	エンリッチ
trolley service	ワゴンサービス
axilspot hogfish	スミツキベラ
beef Wellington	ビーフウェリントン
Simon Says	サイモンセッズ
taste	テイスト
pass receiver	パスレシーバー
watchdog driver	ウォッチドッグドライバ
dislike	ディスライク
Pan-Americanism	パンアメリカニズム
picture	ピクチャー
bare chip	ベアチップ
identity crisis	アイデンティティクライシス
Peking duck	カオヤーツ
plastic money	プラスチックマネー
Lenin	レーニン
cottage cheese	カッテージチーズ
protein powder	プロテインパウダー
arrangement	アレンジメント
hacker	ハッカー
plotter	プロッタ
fucking	ファッキン
variation	バリエーション
vista car	ビスタカー
SYBASE	サイベース
XMS	エックスエムエス
orangeface angelfish	アカネキンチャクダイ
renovation	リフォーム
egg tart	エッグタルト
laser-assisted in-situ keratomileusis	レーシック
nexus	ネクサス
bobbin	ボビン
operation code	オペレーションコード
sales campaign	キャンペーンセール
owner	オーナー
high pitch	ハイピッチ
syringe	スポイト
low-carb	ローカーボ
unformat	アンフォーマット
black-tail sergeant	ローレンツィーズサージャント
photo print service	ラボプリントサービス
artery	アーテリー
mullite	ムライト
leopard	レオパード
flexible back	フレキシブルバック
compiler	コンパイラ
towel	タオル
blooming	ブルーミング
ephedrine	エフェドリン
glaringly	ギラギラ
transhumanism	トランスヒューマニズム
lecithin	レシチン
cane	ケイン
lyre	ライアー
showy	デーハー
universal design	ユニバーサルデザイン
lek	レック
stripe-necked mongoose	クロスジマングース
critique	クリティーク
potato salad	ポテトサラダ
kissing loudly	プチュッ
cooking foil	クッキングホイル
brontosaurus	ブロントサウルス
city guide	シティガイド
cross-license	クロスライセンス
doeskin	ドスキン
hot start	ホットスタート
charger	チャージャー
bank memory	バンクメモリー
corner kick	コーナーキック
chop	チョップ
headend	ヘッドエンド
back-end	バックエンド
alla marcia	アッラマルチャ
staying silent and not expressing one's feelings while secretly lovestruck	ダンデレ
heather	ヘザー
trading card	トレーディングカード
vernier	バーニヤ
barium hydroxide	バライタ
straddling stocks	ストラドリングストック
single-breasted suit	シングルブレスト
preschool	プレスクール
alignment test image	アラインメントテストイメージ
clinker tile	クリンカータイル
playing golf without a caddy	セルフプレー
process group leader	プロセスグループリーダ
rotavirus	ロタウイルス
paddle tennis	パドルテニス
drive-in restaurant	ドライブインレストラン
dark pool	ダークプール
increasing	アップ
i486	アイヨンハチロク
paint	パンドル
carbon graphite	カーボングラファイト
doubles	ダブルス
command mode	コマンドモード
erlang	アーラン
cheek rouge	チークカラー
nail technician	ネイリスト
gauntlet	ガントレット
credit memo	クレメモ
condom	コンドーム
groundkeeper	グラウンドキーパー
Kentucky Fried Chicken	ケンチキ
oximeter	オキシメーター
air brake	エアブレーキ
information science	インフォメーションサイエンス
spinnaker	スピネーカー
working poor	ワーキングプア
hair care	ヘアケア
tissue	ティッシュ
blockchain	ブロックチェーン
security	セキュリティ
nurse	ナース
real time	リアタイ
Ohio	オハイオ
national interest	ナショナルインタレスト
sex toy	アダルトグッズ
homophony	ホモフォニー
spokesperson	スポークスパーソン
mental training	メンタルトレーニング
gzip	ジージップ
aerobic dancing	エアロビックダンシング
dianetics	ダイアネティックス
flag football	フラッグフットボール
text based	テキストベース
lecture	レクチャー
soroptimist	ソロプチミスト
futurism	フューチュリズム
sievert	シーベルト
Dumeril's monitor	デュメリルオオトカゲ
dungarees	ドンゴロス
Frappuccino	フラペチーノ
punching	フィスティング
user's guide	ユーザーズガイド
dune buggy	バギーカー
cover letter	カバーレター
null pattern	ヌルパタン
cold fault	コールドフォルト
curtain wall	カーテンウォール
assistant	アシ
bluelined surgeonfish	ブルーラインドサージョンフィッシュ
window menu	ウインドウメニュー
tone hole	トーンホール
online test system	オンラインテストシステム
copy control	コピーコントロール
tetrahydrofuran	テトラヒドロフラン
traffic cone	カラーコーン
solution provider	ソリューションプロバイダ
hot laboratory	ホットラボラトリー
campus wear	キャンパスウエア
unconscious bias	アンコンシャスバイアス
Yankeeism	ヤンキーイズム
Iraq	イラク
convict surgeonfish	コンヴィクトサージャンフィッシュ
Munchkin	マンチカン
ambush	アンブッシュ
ununennium	ウンウンエンニウム
Tri-P	トリッピー
twin cam	ツインカム
payment	ペイメント
shaking	シェイク
rocking motion	ロッキングモーション
maid	メイド
interviewee	インタビュイー
witch	ウィッチ
foot	フート
shisha	シーシャ
fonduta	フォンドゥータ
pickoff play	ピックオフプレー
must-have	マストアイテム
kilovolt	キロボルト
hotel worker	ホテルマン
command timeout	コマンドタイムアウト
bowl game	ボウルゲーム
group home	グループホーム
idealism	イデアリズム
semplice	センプリーチェ
mesoscopic	メゾスコピック
route sales	ルートセールス
Apochromat	アポクロマート
manaism	マナイズム
congratulations	コングラチュレーション
home cooking	ホームクッキング
access counter	アクセスカウンター
kingmaker	キングメーカー
wolfhound	ウルフハウンド
gold rush	ゴールドラッシュ
flare	フレア
ultramarathon	ウルトラマラソン
Botox	ボトックス
don't worry about it	ドンマイ
changing ends	コートチェンジ
tooth	トゥース
happi coat	ハッピーコート
CERN	サーン
make over	メイクオーバー
new	ニュー
pair lift	ペアリフト
gemstones	カラーストーン
Ethiopian dwarf mongoose	ヒガシコビトマングース
China	チャイナ
sky blue	スカイブルー
blue book	ブルーブック
exa-	エクサ
dam	ダム
model car	モデルカー
on-site	オンサイト
mukbang	モッパン
Babbitt metal	バビットメタル
Rambus	ラムバス
marina	マリーナ
embassy	エンバシー
hematocrit	ヘマトクリット
spectrometer	スペクトロメーター
dilatancy	ダイレイタンシー
guerrilla	ゲリラ
kick and rush	キックアンドラッシュ
job queue	ジョブキュー
condensed milk	コンデンスミルク
mothering	マザリング
manufacture	マニュファクチュア
paint roller	ペンキローラー
zepto-	ゼプト
archaeology	アーキオロジー
door peephole	ドアアイ
sorghum	ソルガム
convenience store	コンビニ
national park	ナショナルパーク
pachycephalosaurus	パキケファロサウルス
hexadecane	ヘキサデカン
andante cantabile	アンダンテカンタービレ
Calrose rice	カルローズ
top	トップ
micrometre	マイクロメートル
Asiatic lion	インドライオン
tandem rotor	タンデムローター
plug compatible	プラコン
Asiatic glassfish	グラスフィッシュ
brochure	パンフレット
Sachertorte	ザッハトルテ
brute-force attack	ブルートフォースアタック
retweet	リツイート
scoreless game	ノースコア
pocket computer	ポケットコンピューター
Manchester	マンチェスター
fluctuation	フラクチュエーション
high fashion	ハイファッション
navy blue	ネービーブルー
ulluco	ウルーコ
crankcase	クランクケース
poker face	ポーカーフェイス
stationery	ステーショナリー
container file	コンテナファイル
smock	スモック
bitmap	ビットマップ
revolving loan	リボルビングローン
fidelity	フィデリティー
arsenic chloride	アーセニッククロライド
femtometer	フェムトメートル
zero-emission	ゼロエミッション
summer camp	サマーキャンプ
metabolic syndrome	メタボリックシンドローム
assist	アシスト
failsoft	フェールソフト
follow-back	フォローバック
panel technique	パネルテクニック
FACOM	ファコム
packing tape	ガムテープ
to inspire	インスパイアー
macro lens	マクロレンズ
souk	スーク
ikupasuy	イクパスイ
application technology	アプリケーションテクノロジ
calendar program	カレンダープログラム
talent	タラント
copy protection	コピープロテクト
freedom	フリーダム
love set	ラブセット
looks	ルックス
bright colors	ビタミンカラー
data module	データモジュール
Banon	バノン
surge protector	サージプロテクタ
grenadine	グレナディン
granulite	グラニュライト
cartridge font	カートリッジフォント
Italian casual	イタカジ
host country	ホストカントリー
orthoscope	オルソスコープ
power strip	コンセントタップ
moral pollution	モラルポリューション
Arctic grayling	アークティックグレイリング
multiscreen	マルチスクリーン
data inventory	データインベントリ
honeytrap	ハニトラ
caste	カースト
common sole	コモンソール
knuckle four	ナックルフォア
anti-lock brake system	アンチロックブレーキシステム
high-leg leotard	ハイレグ
VideoCD	ビデオシーディー
medical engineering	メディカルエンジニアリング
all-inclusive	オールインクルーシブ
trouble-shooting	トラブルシューティング
magma	マグマ
alpha version	アルファバージョン
UMB	ユーエムビー
super technology	オーバーテクノロジー
single quotation	シングルクォーテーション
check it out yo	チェケラッチョ
on memory	オンメモリ
hurrah	フラー
wind rose	ウィンドローズ
intelligent database	インテリジェントデータベース
lucky seventh	ラッキーセブン
indexed file	インデックスファイル
carboy	カルボイ
lantern	ラテルネ
change of pace	チェンジオブペース
career woman who is a mother	キャリアママ
soft return	ソフトリターン
regionalism	リージョナリズム
worsted	ウーステッド
Para rubber	パラゴム
transient	トランジェント
supermarket	スーパー
Roseau	ロゾー
achimenes	アキメネス
bar	バール
renovation plan	リフォームプラン
security guard	ガードマン
regular batting	レギュラーバッティング
waistline	ウエストライン
integrated marketing	インテグレーテッドマーケティング
date rape drug	デートレイプドラッグ
new music	ニューミュージック
Vientiane	ビエンチャン
single ended	シングルエンド
inn	イン
tartar sauce	タルタルソース
trickle-down	トリクルダウン
contract	コントラクト
French bulldog	フレンチブルドッグ
gem	ビジュー
chaga mushroom	チャーガ
anchoring	アンカリング
sales clerk in a fancy boutique clothing store	ハウスマヌカン
interior furnishings shop	インテリアショップ
phosphatase	ホスファターゼ
praetor	プラエトル
start	スタート
Poseidon	ポセイドーン
graphics subsystem	グラフィックスサブシステム
backup system	バックアップシステム
rampway	ランプウェー
pop-up window	ポップアップウィンドウ
subtopic	サブテーマ
newsmagazine	ニュースマガジン
curry soup with rice	スープカレー
link group	リンクグループ
Russian blouse	ルパシカ
kneeling bus	リフトバス
systolic	シストリック
angiotensin	アンジオテンシン
Machiavellian	マキャベリスト
handheld device	ハンドヘルドデバイス
space bar	スペースバー
facsimile adapter	ファクシミリアダプタ
correspondence	コレポン
moralist	モラリスト
populism	ポピュリズム
thank you	サンキューカッス
camellia oil	カメリアオイル
Merlion	マーライオン
soft error	ソフトエラー
oil cooler	オイルクーラー
zorse	ゾース
reef butterflyfish	リーフバタフライフィッシュ
phone shopping	テレホンショッピング
reluctance	リラクタンス
air chamber	エアチャンバー
American school	アメリカンスクール
current topics	カレントトピックス
sewing machine	ミシン
sheep shank	シープシャンク
low technology	ローテク
baião	バイヨン
deck shoes	デッキシューズ
gyaru	ギャル
Fiordland crested penguin	キマユペンギン
double image	ダブルイメージ
health	ヘルス
motor home camping	オートキャンプ
day game	デーゲーム
dinner party	ディナーパーティー
civil service competitive examination for some positions in the public education system in France	アグレガシオン
cucumber kimchi	オイキムチ
feedstock recycling	フィードストックリサイクル
Corel	コーレル
decrypt	デクリプト
information	インフォメーション
easy	イージー
colchicine	コルチシン
dive	ダイブ
Mongolian	モンゴリアン
cost-push inflation	コストプッシュインフレーション
textile	テキスタイル
mime	マイム
drive serve	ドライブサーブ
musculoskeletal deterioration in the elderly reducing locomotive ability	ロコモ
flicker	フリッカー
prefix	プリフィクス
off hook	オフフック
ripe bell pepper	カラーピーマン
haircut of uniform length	ワンレン
ice arena	アイスアリーナ
French toast	フレンチトースト
open tennis	オープンテニス
trend	トレンド
pipe still	パイプスチル
nursing in the home by visiting nurses	デイサービス
flywheel	フライホイール
automatic transmission	ノークラッチ
running shorts	ランニングパンツ
camera reportage	カメラルポルタージュ
soapless soap	ソープレスソープ
Bangladesh	バングラデシュ
bearer	ベアラ
moderate	モデレイト
salad bar	サラダバー
bodyguard	ボディーガード
hash mark	ハッシュマーク
violin	バイオリン
level set	レベルセット
plateau	プラトー
senior	パイセン
Dadaist	ダダイスト
Eviota korechika	シボリイソハゼ
groundhog	グラウンドホッグ
miniature golf	ベビーゴルフ
growth recession	グロースリセッション
Win32	ウィンサンジューニ
skier	スキーヤー
miacis	ミアキス
nitro-	ニトロ
potpourri	ポプリ
smectic	スメクチック
good design	グッドデザイン
passimeter	パッシメーター
combination blow	コンビネーションブロー
utopian	ユートピアン
combine harvester	コンバインハーベスター
Bangkok	クルンテープ
cantilever	カンチレバー
ganciclovir	ガンシクロビル
attention	アテンション
Minsk	ミンスク
aldosterone	アルドステロン
casein	カゼイン
cohabitation	コハビテーション
full throttle	フルパワー
full-duplex	フルデュプレックス
aerosol deodorant	パウダースプレー
snowplow turn	プルークボーゲン
mouse icon	マウスアイコン
stunt kite	スタントカイト
Intelpost	インテルポスト
carry-back	キャリーバック
white metal	ホワイトメタル
service level	サービスレベル
avenger	リベンジャー
indri	インドリ
linkage editor	リンケージエディタ
making out and being lovey-dovey	イチャラブ
basic dress	ベーシックドレス
straight flush	ストレートフラッシュ
astonish	アストニッシュ
boxer briefs	ボクサーブリーフ
cover charge	カバーチャージ
nectarine	ネクタリン
proprietary	プロプライエタリ
lipstick	リップスティック
child	チャイルド
unfollow	アンフォロー
surreal	シュール
Black Friday	ブラックフライデー
thromboxane	トロンボキサン
telemetry	テレメトリー
watchdog timer	ウォッチドッグタイマ
pulp	パルプ
user needs	ユーザーニーズ
Garnacha	ガルナッチャ
steel wool	スチールウール
eye bank	アイバンク
mullet	マレット
IDL	アイディーエル
audiophile	オーディオマニア
interior decoration	インテリアデコレーション
epitope	エピトープ
cooking school	クッキングスクール
midnight	ミッドナイト
write-through	ライトスルー
cami slip	キャミスリップ
assumption	アサンプション
necking	ネッキング
offline help	オフラインヘルプ
countershock	カウンターショック
bellydancer	ベリーダンサー
colored contact lens	カラコン
box calf	ボックスカーフ
NNTP	エヌエヌティーピー
red eye	レッドアイ
the White House	ホワイトハウス
capital	キャピタル
micro	ミクロ
clubbers	パリピ
lumbar support	ランバーサポート
Homo habilis	ホモハビリス
summer house	サマーハウス
driving safely	セーフティードライブ
human document	ヒューマンドキュメント
double cheeseburger	ダブルチーズバーガー
oxide	オキサイド
quota	ノルマ
corner flag	コーナーフラッグポスト
headlamp	ヘッドランプ
stomach	ストマック
simple statement	シンプルステートメント
antimony	アンチモニー
serial interface	シリアルインタフェース
buzz session	バズセッション
bacteriophage	バクテリオファージ
door-to-door	ドアツードア
inspector	インスペクター
cable modem	ケーブルモデム
working dog	ワーキングドッグ
communicator	コミュニケーター
foyer	ホワイエ
passing shot	パッシングショット
under control	アンダーコントロール
Polaroid	ポラ
world	ワールド
worship	ワーシップ
middle class	ミドルクラス
masked bannerfish	オニハタタテダイ
outdoor	アウトドア
mailbox	メールボックス
personal opinion	パーソナルオピニオン
smell	スメル
slowing down	スピードダウン
checks and balances	チェックアンドバランス
tzatziki	ザジキ
chapel	チャペル
a cappella	アカペラ
supplement	サプリメント
ITU-T	アイティーユーティー
ryona	リョナ
risk assessment	リスクアセスメント
skilled labor shortage	アンダースキル
demand-pull inflation	ディマンドプルインフレーション
jing	チン
bocconcini	ボッコンチーニ
file access	ファイルアクセス
Santa Fe	サンタフェ
general contractor	ゼネラルコントラクター
insulinoma	インスリノーマ
caviar	キャビア
causing somebody discomfort through strong odors	スメルハラスメント
flutist	フルーティスト
abstract art	アブストラクトアート
Sriracha sauce	シラチャソース
Hawaii	ワイハ
opposition party	オポジションパーティー
blackface	ブラックフェイス
kayfabe	ケーフェイ
axe kick	ネリチャギ
column chart	カラムチャート
bay leaf	ローリエ
junk accessories	ジャンクアクセサリー
Pallas's cat	マヌルネコ
floor show	フロアショー
documentary	ドキュメンタル
seminar	セミナー
online dump	オンラインダンプ
romper room	ロンパールーム
jumbo	ジャンボ
burst	バースト
go-cart	ゴーカート
app	アプリ
normal tire	ノーマルタイヤ
stretch	ストレッチ
sunglasses	グラサン
glossolalia	グロッソラリア
amabile	アマービレ
fashion industry	ファッションインダストリー
BCD code	ビーシーディーコード
DDL	ディーディーエル
rubber lining	ゴムライニング
soy	ソイ
schmaltz	シュマルツ
software developer kit	ソフトウェアディベロッパキット
computer network	コンピュータネットワーク
proletariat	プロレタリアート
endrin	エンドリン
darning stitch	ダーニングステッチ
receptor	レセプター
scooter with a compartment under the seat to hold a helmet	メットイン
cucurbitacin	ククルビタシン
dash-and-dot goatfish	オオスジヒメジ
no carrier	ノーキャリア
Lomé	ロメ
slave	スレーブ
Pluto	プルートー
Pokémon	ポケモン
ignition key	エンジンキー
recipe	レシピ
no-free-lunch	ノーフリーランチ
X-Window	エックスウィンドウ
sacrifice fly	サクリファイスフライ
spinner	スピナー
simple clothing made without seams, lining, padding, etc.	サンクチュール
free-standing bar	スタンディング
the Maori	マオリ
wood briquet	オガライト
Ancillary services	アンシラリーサービス
trim points	トリミングポイント
krummhorn	クルムホルン
fisheye lens	フィッシュアイレンズ
vulcanized fiber	バルカンファイバー
hole out	ホールアウト
analog modem	アナログモデム
defensive	ディフェンシブ
wind	ウインド
debit card service	デビットカードサービス
sample book	サンプルブック
register	レジ
North Dakota	ノースダコタ
running	ランニング
reclining seat	リクライニングシート
MSN	エムエスエヌ
megahertz	メガヘルツ
alive	アライブ
palmtop computer	パームトップコンピュータ
BITNET	ビットネット
liquor	リカー
chucking reamer	チャックリーマー
balboa	バルボア
sociogram	ソシオグラム
intro-vision	イントロビジョン
carry bit	キャリービット
peplum	ペプラム
Hirami lemon	ヒラミレモン
Switzerland	ヘルベチア
tablet controller	タブレットコントローラー
channeled apple snail	ジャンボタニシ
solfège	ソルフェージュ
clean boot	クリーンブート
adding sounds to a soundtrack after a film has been made	アフターレコーディング
container object	コンテナオブジェクト
oil money	オイルマネー
handheld vacuum cleaner	ハンディクリーナー
dry rehearsal	ドライリハーサル
interQ	インターキュー
bubble wrap	バブルラップ
lousiness	ラウジネス
capybara	カピバラ
speculation	スペキュレーション
permethrin	ペルメトリン
collaboration	コラボレート
optimizer	オプティマイザ
company	カンパニー
californium	カリホルニウム
basket	バスケット
character printer	キャラクタプリンタ
ballet skirt	チュチュ
look up	ルックアップ
fetch	フェッチ
choke coil	チョークコイル
mild	マイルド
marriage counselor	マリッジカウンセラー
golf club	ゴルフクラブ
trustee	トラスティ
empathetically putting oneself in the place of a handicapped person	キャップハンディ
hot docking	ホットドッキング
heavy petting	ペッティング
Neotrigonia	ネオトリゴニア
crusader	クルーセーダー
beep code	ビープコード
roadracer	ロードレーサー
screen name	ハンドルネーム
completely exhausted	ヘトヘト
baked potato	ベイクドポテト
lactogen	ラクトゲン
CHKDSK	チェックディスク
twisted pair cable	ツイストペアケーブル
sodium	ナトリウム
newbie	ニュービー
discourse	ディスコース
display	ディスプレイ
rug	ラグマット
cheese sandwich	チーズサンド
bank shot	バンクショット
hall for holding events	イベントホール
coalite	コーライト
academism	アカデミズム
socialite	ソーシャライト
Narcissus	ナルシス
pneumatic hammer	ニューマチックハンマー
Heroldrebe	ヘロルドレーベ
despotism	デスポティズム
boundary	バウンダリー
configuration memory	コンフィギュレーションメモリ
feeder	フィーダ
praseodymium	プラセオジム
human rights	ヒューマンライツ
topless	トップレス
lithosphere	リソスフェア
online computer system	オンラインコンピュータシステム
video titler	タイトラー
clickable map	クリッカブルマップ
loser	ルーザー
Unix	ユニックス
sea kayak	シーカヤック
trainer	トレーナー
tuck top box	タックケース
pearly sergeant	ブルースポッティドサージャント
peer group leader	ピアグループリーダ
hamlet	ハムレット
electret	エレクトレット
Sauvignon blanc	ソーヴィニヨンブラン
yellowtail angelfish	イエローテールエンジェルフィッシュ
retouch	レタッチ
wine cooler	ワインクーラー
interior design	インテリアデザイン
cement mortar	セメントモルタル
narrow-band	ナロウバンド
laser cutting	レーザーカット
neosugar	ネオシュガー
synectics	シネクティクス
NSAPI	エヌサピ
staccato	スタッカート
binturong	ビントロング
ambient	アンビエント
hard power	ハードパワー
colored shirt	カラーシャツ
boat man	ボートマン
cleome	クレオメ
Luanda	ルアンダ
librarian	ライブラリアン
forwarding	フォワーディング
insertion	インサーション
Xircom	ザーコム
wafer	ウエーファー
spark	スパーク
armchair detective	アームチェアディテクティブ
baptism	バプティズム
India pale ale	インディアペールエール
transparency	トランスペアレンシー
serenade	セレナーデ
match point	マッチポイント
morning	モーニング
airsoft	サバイバルゲーム
linebacker	ラインバッカー
department store salesgirl	デパガ
slash character	スラッシュ
text box	テキストボックス
circular skirt	サーキュラースカート
style of speaking in which the speaker gives the end of each sentence or phrase a higher intonation	アップトーク
shoes	シューズ
stupid person	アーパー
campanula	カンパニュラ
desktop personal computer	デスクトップパソコン
CRT	シーアールティー
academic gown	アカデミックガウン
impact	インパクト
naan	ナン
holiday	ホリデー
domino	ドミノ
fillet	フィレット
viscacha	ビスカッチャ
title	タイトル
box culvert	ボックスカルバート
shake-hands grip	シェークハンドグリップ
renderer	レンダラ
coverage	カバレッジ
Czech Republic	チェコ
gas burner	ガスバーナー
ransomware	ランサムウェア
target drive	ターゲットドライブ
competition	コンペ
data set	データセット
subscription	サブスクリプション
feather plane	フェザープレーン
marching band	マーチングバンド
online shop	ネットショップ
bitter almond	ビターアーモンド
node	ノード
cordon bleu	コルドンブルー
sparrer	スパーラ
duplicate	デュプリケート
showroom	モデルルーム
Brazilian butterflyfish	ブラジリアンロングスナウトバタフライフィッシュ
autograph	サイン
ponytail	ポニーテール
sustaining program	サステイニングプログラム
in-store merchandising	インストアマーチャンダイジング
flying	フライング
tyrosine	チロシン
wild	ワイルド
radio news	ラジオニュース
toe-in	トーイン
column	コラム
dibenzofuran	ジベンゾフラン
guillotine	ギロチン
refrain	リフレーン
hand sanitizer	サニタイザー
dimension member	ディメンションメンバ
tokay gecko	トッケイ
empathy	エンパシー
lolicon	ロリータコンプレックス
picaresque	ピカレスク
woolly monkey	ウーリーモンキー
free admission	アドミッションフリー
work desk	ワークデスク
Merced	マーセッド
comparable worth	コンパラブルワース
romanticist	ロマンチスト
sound recordings library	レコードライブラリ
isomerase	イソメラーゼ
index hole	インデックスホール
image survey	イメージサーベイ
baked cookie	ガトーセック
strapping option	ストラップオプション
geodesic	ジェオデシック
having a good atmosphere	ムーディー
manipulator	マニピュレータ
contraction	コントラクション
roble	イペ
World Series	ワールドシリーズ
humour	ヒューモア
bush baby	ブッシュベビー
fork	フォーク
caramelization	キャラメリゼ
guest vocalist	ゲストボーカル
concept advertisement	コンセプトアド
yeomanry	ヨーマンリー
call waiting	コールウエイティング
referee's position	レフェリーポジション
private jet	プライベートジェット
dynamic allocation	ダイナミックアロケーション
green screen	グリーンバック
forehand	フォアハンド
zebra moray	ゼブラウツボ
blond hair	パツキン
trappistine	トラピスチーヌ
social media harassment	ソーハラ
flooring block	フロアリングブロック
gender bias	ジェンダーバイアス
endless	エンドレス
ticket agency	プレーガイド
kerosene	ケロシン
loose stone	ルース
high-definition television	ハイビジョン
acquaint	アクウェイント
Tourette syndrome	トゥレットシンドローム
monsieur	ムッシュー
home run	オーバーフェンス
boat dive	ボートダイブ
deep focus	ディープフォーカス
red line	レッドライン
orchestra pit	オケピ
duty	デューティ
patch	パッチ
dump	ダンプ
symbol	シンボル
portable computer	ポータブルコンピュータ
bra	ブラジャー
chiropractic	カイロプラクティック
glove	グラブ
myth	ミス
sand skiing	サンドスキー
buffet	ブッフェ
markup	マークアップ
warez	ワレズ
script command	スクリプトコマンド
mycotoxin	マイコトキシン
remote-controlled lighting equipment	プルレス
migrenin	ミグレニン
skin cream	スキンクリーム
green leaf	グリーンリーフ
spurt	スパート
groundwork	グラウンドワーク
Indian	インディアン
pressed ham	プレスハム
midi	ミディ
sharply	ギンッ
aquanaut	アクアノート
key feature	キーフィーチャ
electronic sound	エレクトロニックサウンド
cyclical	シクリカル
esthetician	エステティシャン
lindy hop	リンディホップ
deep-water catshark	アキヘラザメ
working woman	ワーキングウーマン
ghee	ギー
decrescendo	デクレッシェンド
side ponytail	サイドテール
ridge-tailed monitor	リッジテールモニター
impeller	インペラ
melanocyte	メラノサイト
carrier sense	キャリアセンス
oil shampoo	オイルシャンプー
bilingual	バイリン
geeky	オタッキー
sine	サイン
run-time library	ランタイムライブラリ
coconut	ココナッツ
instruction address register	プログラムレジスタ
leggiero	レッジェーロ
mass society	マスソサエティー
hypermedia	ハーパーメディア
relief pitcher	リリーフピッチャー
explosion shot	エクスプロージョンショット
yippie	イッピー
messenger bag	メッセンジャーバッグ
halothane	ハロセン
Enter key	エンターキー
sex	ギシギシアンアン
quota	クオータ
columbium	コロンビウム
taper reamer	テーパーリーマー
polish	ポリッシュ
casual wear	カジュアルウエア
integration	インテグレーション
NAPLPS	ナプルプス
cold chicken	コールドチキン
data warehouse	データウェアハウス
purple reeffish	パープルリーフフィッシュ
Linux	リナックス
body-piercing	ボディピアス
mosquito	モスキート
quilter	クイルター
isotope	アイソトープ
dean	ディーン
cuff links	カフリンクス
buffalo	バッファロー
paint system	ペイントシステム
replicon	レプリコン
key field	キーフィールド
wing	ウイング
fish	ポアソン
group work	グループワーク
gooseberry	グーズベリー
cellular modem	セルラーモデム
root beer	ルートビア
Randall's pygmy goby	ランドールズピグミーゴビー
metalize	メタライズ
missile	ミサイル
scintillation	シンチレーション
Comoros	コモロ
sneak in	スネークイン
original scenario	オリジナルシナリオ
keyboard help	キーボードヘルプ
Cetinje	ツェティニェ
Primitivo	プリミティーヴォ
argon	アルゴン
lovey-dovey	ラブラブ
meringue	メレンゲ
mezzo piano	メゾピアノ
